VName,Filter,HJD,mag_s,mag_i,e_mag_i,Fref,e_Fref,DFlux,e_DFlux,p
"V18",I,2455794.86203,17.086,17.259,0.07,1156855.0,12990.0,12.46,10815.0,0.1355
"V18",I,2455794.86343,17.1,17.273,0.08,1156855.0,12990.0,9.08,10820.0,0.1196
"V18",I,2455794.86643,17.073,17.245,0.04,1156855.0,12990.0,23.955,10360.0,0.2229
"V18",I,2455795.72596,17.283,17.456,0.02,1156855.0,12990.0,-54.285,9000.0,0.4699
"V18",I,2455795.72725,17.254,17.427,0.019,1156855.0,12990.0,-41.9,9035.0,0.4775
"V18",I,2455795.72866,17.296,17.469,0.02,1156855.0,12990.0,-60.88,8890.0,0.4773
"V18",I,2455795.73006,17.243,17.416,0.019,1156855.0,12990.0,-36.305,9200.0,0.4774
"V18",I,2455795.77392,17.14,17.313,0.017,1156855.0,12990.0,14.925,9070.0,0.4748
"V18",I,2455795.77521,17.135,17.308,0.017,1156855.0,12990.0,17.265,9125.0,0.4746
"V18",I,2455795.77661,17.146,17.319,0.018,1156855.0,12990.0,11.825,9160.0,0.474
"V18",I,2455801.787,17.099,17.272,0.019,1156855.0,12990.0,33.35,9560.0,0.4347
"V18",I,2455801.78829,17.104,17.277,0.02,1156855.0,12990.0,31.905,10155.0,0.45
"V18",I,2455801.7897,17.087,17.26,0.02,1156855.0,12990.0,41.055,10670.0,0.4549
"V18",I,2455801.79111,17.098,17.271,0.02,1156855.0,12990.0,35.155,10145.0,0.4527
"V18",I,2455801.81644,17.115,17.288,0.024,1156855.0,12990.0,27.33,12125.0,0.4616
"V18",I,2455801.81772,17.125,17.298,0.029,1156855.0,12990.0,19.74,13165.0,0.4124
"V18",I,2455801.81913,17.154,17.327,0.028,1156855.0,12990.0,7.395,14240.0,0.4617
"V18",I,2455801.82053,17.104,17.277,0.026,1156855.0,12990.0,32.63,13665.0,0.4556
"V18",I,2455803.73879,17.201,17.374,0.019,1156855.0,12990.0,-16.15,9530.0,0.4772
"V18",I,2455803.74149,17.224,17.397,0.02,1156855.0,12990.0,-27.57,9560.0,0.4769
"V18",I,2455803.74289,17.168,17.341,0.019,1156855.0,12990.0,0.24,9760.0,0.4734
"V18",I,2455803.7921,17.156,17.329,0.019,1156855.0,12990.0,6.325,9715.0,0.4719
"V18",I,2455803.79338,17.121,17.294,0.018,1156855.0,12990.0,24.515,9685.0,0.4716
"V18",I,2455803.7948,17.103,17.276,0.019,1156855.0,12990.0,33.95,9910.0,0.4713
"V18",I,2455803.79621,17.102,17.275,0.019,1156855.0,12990.0,34.59,9935.0,0.4708
"V18",I,2455803.83608,17.243,17.416,0.023,1156855.0,12990.0,-35.325,10385.0,0.4605
"V18",I,2455803.83736,17.249,17.422,0.024,1156855.0,12990.0,-37.875,11105.0,0.4608
"V18",I,2455803.83876,17.312,17.485,0.024,1156855.0,12990.0,-65.62,10420.0,0.4585
"V18",I,2455803.84018,17.289,17.462,0.027,1156855.0,12990.0,-55.645,11645.0,0.4595
"V18",I,2455804.71302,17.133,17.306,0.019,1156855.0,12990.0,18.36,10125.0,0.4732
"V18",I,2455804.71431,17.116,17.289,0.019,1156855.0,12990.0,27.5,10055.0,0.4735
"V18",I,2455804.71571,17.149,17.322,0.019,1156855.0,12990.0,10.07,9855.0,0.4712
"V18",I,2455804.71712,17.124,17.297,0.019,1156855.0,12990.0,23.32,10055.0,0.4744
"V18",I,2455804.75301,17.248,17.421,0.021,1156855.0,12990.0,-38.74,9635.0,0.4737
"V18",I,2455804.75431,17.211,17.384,0.02,1156855.0,12990.0,-21.105,9610.0,0.4733
"V18",I,2455804.75572,17.238,17.412,0.021,1156855.0,12990.0,-34.065,9795.0,0.4734
"V18",I,2455804.75712,17.258,17.432,0.021,1156855.0,12990.0,-43.41,9685.0,0.473
"V18",I,2455804.78706,17.287,17.46,0.021,1156855.0,12990.0,-56.33,9675.0,0.4715
"V18",I,2455804.78834,17.269,17.442,0.022,1156855.0,12990.0,-47.81,10155.0,0.4676
"V18",I,2455804.78976,17.299,17.472,0.022,1156855.0,12990.0,-61.39,9635.0,0.4689
"V18",I,2455804.79116,17.293,17.466,0.022,1156855.0,12990.0,-58.57,9995.0,0.4697
"V18",I,2455804.82098,17.143,17.316,0.02,1156855.0,12990.0,12.88,10370.0,0.4661
"V18",I,2455804.82227,17.144,17.316,0.021,1156855.0,12990.0,12.735,10560.0,0.4652
"V18",I,2455804.82368,17.13,17.303,0.021,1156855.0,12990.0,19.615,10640.0,0.4649
"V18",I,2455804.82509,17.12,17.292,0.02,1156855.0,12990.0,25.085,10475.0,0.4655
"V18",I,2456147.8248,17.414,17.587,0.063,1156855.0,12990.0,-229.965,53120.0,0.983
"V18",I,2456147.82532,17.276,17.449,0.056,1156855.0,12990.0,-106.525,53160.0,0.9802
"V18",I,2456147.82714,17.268,17.441,0.059,1156855.0,12990.0,-99.2,56005.0,0.9812
"V18",I,2456147.82767,17.313,17.486,0.059,1156855.0,12990.0,-141.155,54410.0,0.9831
"V18",I,2456147.8295,17.225,17.398,0.054,1156855.0,12990.0,-57.305,53855.0,0.9798
"V18",I,2456147.83003,17.277,17.45,0.056,1156855.0,12990.0,-107.625,53575.0,0.9824
"V18",I,2456147.83186,17.225,17.398,0.057,1156855.0,12990.0,-57.265,56250.0,0.983
"V18",I,2456147.83239,17.301,17.474,0.058,1156855.0,12990.0,-129.83,53930.0,0.9795
"V18",I,2456147.83444,17.209,17.382,0.072,1156855.0,12990.0,-20.59,35970.0,0.4878
"V18",I,2456147.83486,17.268,17.442,0.083,1156855.0,12990.0,-49.955,39625.0,0.492
"V18",I,2456147.83632,17.216,17.389,0.079,1156855.0,12990.0,-24.055,39405.0,0.4893
"V18",I,2456147.83673,17.223,17.396,0.077,1156855.0,12990.0,-27.58,38490.0,0.4898
"V18",I,2456147.83823,17.135,17.308,0.078,1156855.0,12990.0,18.13,42130.0,0.4899
"V18",I,2456147.83863,17.227,17.401,0.084,1156855.0,12990.0,-29.805,41325.0,0.4895
"V18",I,2456147.84011,17.072,17.245,0.071,1156855.0,12990.0,52.83,40540.0,0.4909
"V18",I,2456147.84052,17.14,17.313,0.075,1156855.0,12990.0,15.205,40370.0,0.4897
"V18",I,2456147.84817,17.187,17.36,0.075,1156855.0,12990.0,-9.47,38340.0,0.4891
"V18",I,2456147.84857,17.214,17.387,0.074,1156855.0,12990.0,-23.12,36840.0,0.4903
"V18",I,2456147.85005,17.094,17.267,0.067,1156855.0,12990.0,40.325,37230.0,0.4896
"V18",I,2456147.85047,17.214,17.387,0.077,1156855.0,12990.0,-23.12,38285.0,0.4875
"V18",I,2456147.85194,17.196,17.369,0.078,1156855.0,12990.0,-14.095,39575.0,0.4887
"V18",I,2456147.85235,17.11,17.283,0.067,1156855.0,12990.0,31.555,36680.0,0.4882
"V18",I,2456147.85382,17.249,17.422,0.071,1156855.0,12990.0,-40.24,34170.0,0.4876
"V18",I,2456147.85423,17.243,17.417,0.075,1156855.0,12990.0,-37.625,36650.0,0.489
"V18",I,2456147.8557,17.074,17.247,0.067,1156855.0,12990.0,51.63,38380.0,0.4873
"V18",I,2456147.85611,17.081,17.254,0.066,1156855.0,12990.0,47.12,37135.0,0.485
"V18",I,2456147.8576,17.073,17.246,0.065,1156855.0,12990.0,51.805,36750.0,0.4854
"V18",I,2456147.858,17.056,17.228,0.062,1156855.0,12990.0,61.94,35880.0,0.4858
"V18",I,2456147.85948,17.12,17.293,0.069,1156855.0,12990.0,25.765,37315.0,0.4856
"V18",I,2456147.85989,17.164,17.336,0.075,1156855.0,12990.0,2.765,39330.0,0.4863
"V18",I,2456147.86136,17.111,17.284,0.067,1156855.0,12990.0,30.92,36625.0,0.4859
"V18",I,2456147.86177,17.115,17.288,0.066,1156855.0,12990.0,28.805,35900.0,0.4876
"V18",I,2456147.86324,17.148,17.321,0.069,1156855.0,12990.0,10.935,36180.0,0.4853
"V18",I,2456147.86365,17.176,17.349,0.069,1156855.0,12990.0,-3.54,35425.0,0.4858
"V18",I,2456147.86514,17.005,17.178,0.059,1156855.0,12990.0,92.025,35665.0,0.4883
"V18",I,2456147.86555,17.12,17.293,0.074,1156855.0,12990.0,25.895,40145.0,0.4858
"V18",I,2456150.85102,17.19,17.363,0.03,1156855.0,12990.0,-22.315,31050.0,0.9876
"V18",I,2456150.85154,17.24,17.413,0.032,1156855.0,12990.0,-72.085,31165.0,0.9835
"V18",I,2456150.85338,17.206,17.379,0.032,1156855.0,12990.0,-38.375,32115.0,0.9854
"V18",I,2456150.8539,17.237,17.41,0.03,1156855.0,12990.0,-69.25,29395.0,0.9858
"V18",I,2456150.85572,17.239,17.412,0.036,1156855.0,12990.0,-71.105,35075.0,0.9873
"V18",I,2456150.85625,17.231,17.404,0.036,1156855.0,12990.0,-63.145,35185.0,0.9865
"V18",I,2456150.85808,17.233,17.406,0.034,1156855.0,12990.0,-65.93,33570.0,0.9875
"V18",I,2456150.85861,17.282,17.455,0.035,1156855.0,12990.0,-112.775,32960.0,0.9852
"V18",I,2456150.86044,17.229,17.402,0.034,1156855.0,12990.0,-60.905,33440.0,0.9833
"V18",I,2456150.86097,17.295,17.468,0.034,1156855.0,12990.0,-124.985,31220.0,0.9839
"V18",I,2456150.86281,17.224,17.397,0.035,1156855.0,12990.0,-56.59,34965.0,0.9864
"V18",I,2456150.86334,17.236,17.409,0.032,1156855.0,12990.0,-68.67,31190.0,0.9841
"V18",I,2456150.86518,17.269,17.442,0.033,1156855.0,12990.0,-100.35,31080.0,0.9851
"V18",I,2456150.8657,17.285,17.458,0.033,1156855.0,12990.0,-115.785,30920.0,0.9833
"V18",I,2456150.86752,17.248,17.421,0.031,1156855.0,12990.0,-80.195,30280.0,0.9823
"V18",I,2456150.86805,17.251,17.424,0.035,1156855.0,12990.0,-83.3,33660.0,0.9845
"V18",I,2456150.86986,17.283,17.456,0.037,1156855.0,12990.0,-114.35,35115.0,0.9866
"V18",I,2456150.87039,17.325,17.498,0.035,1156855.0,12990.0,-152.6,31880.0,0.9816
"V18",I,2456150.87221,17.265,17.438,0.036,1156855.0,12990.0,-96.21,34680.0,0.9847
"V18",I,2456150.87273,17.278,17.451,0.034,1156855.0,12990.0,-109.24,32360.0,0.983
"V18",I,2456150.87458,17.299,17.472,0.044,1156855.0,12990.0,-128.255,40875.0,0.9822
"V18",I,2456150.8751,17.348,17.521,0.038,1156855.0,12990.0,-172.935,34105.0,0.9842
"V18",I,2456150.87692,17.293,17.466,0.039,1156855.0,12990.0,-123.41,36300.0,0.9854
"V18",I,2456150.87744,17.339,17.512,0.036,1156855.0,12990.0,-164.195,32385.0,0.9784
"V18",I,2456150.87926,17.243,17.416,0.037,1156855.0,12990.0,-75.165,36145.0,0.981
"V18",I,2456150.87979,17.275,17.448,0.041,1156855.0,12990.0,-106.09,38585.0,0.9816
"V18",I,2456150.88162,17.294,17.467,0.042,1156855.0,12990.0,-123.745,39055.0,0.9818
"V18",I,2456150.88215,17.31,17.484,0.041,1156855.0,12990.0,-138.935,37355.0,0.9814
"V18",I,2456150.88397,17.434,17.608,0.046,1156855.0,12990.0,-246.465,37540.0,0.981
"V18",I,2456150.8845,17.28,17.453,0.056,1156855.0,12990.0,-110.565,52495.0,0.9787
"V18",I,2456150.88631,17.284,17.457,0.04,1156855.0,12990.0,-113.905,37300.0,0.9778
"V18",I,2456150.88685,17.318,17.491,0.049,1156855.0,12990.0,-145.54,44490.0,0.9803
"V18",I,2456150.88866,17.209,17.382,0.05,1156855.0,12990.0,-40.965,50240.0,0.9769
"V18",I,2456150.88919,17.441,17.614,0.055,1156855.0,12990.0,-250.7,44815.0,0.9776
"V18",I,2456150.89101,17.314,17.487,0.048,1156855.0,12990.0,-141.255,43100.0,0.9743
"V18",I,2456150.89153,17.311,17.484,0.043,1156855.0,12990.0,-138.675,39225.0,0.9764
"V18",I,2456150.89336,17.336,17.509,0.054,1156855.0,12990.0,-160.98,48295.0,0.9748
"V18",I,2456150.89388,17.291,17.464,0.048,1156855.0,12990.0,-119.595,43955.0,0.9725
"V18",I,2456151.82193,17.253,17.427,0.028,1156855.0,12990.0,-85.715,27080.0,0.9874
"V18",I,2456151.82375,17.219,17.392,0.029,1156855.0,12990.0,-52.09,28970.0,0.9917
"V18",I,2456151.82428,17.248,17.421,0.027,1156855.0,12990.0,-81.73,26975.0,0.9985
"V18",I,2456151.82662,17.249,17.422,0.027,1156855.0,12990.0,-82.435,27015.0,1.0024
"V18",I,2456151.82845,17.276,17.449,0.029,1156855.0,12990.0,-106.885,27505.0,0.9865
"V18",I,2456151.82897,17.291,17.464,0.028,1156855.0,12990.0,-121.74,26695.0,0.9889
"V18",I,2456151.8308,17.177,17.35,0.025,1156855.0,12990.0,-8.545,26810.0,0.9844
"V18",I,2456151.83132,17.209,17.382,0.027,1156855.0,12990.0,-41.395,27795.0,0.989
"V18",I,2456151.83314,17.176,17.349,0.026,1156855.0,12990.0,-7.655,27540.0,0.9888
"V18",I,2456151.83367,17.271,17.444,0.028,1156855.0,12990.0,-102.95,26890.0,0.9901
"V18",I,2456151.83836,17.188,17.361,0.026,1156855.0,12990.0,-20.15,27240.0,0.9968
"V18",I,2456151.8402,17.169,17.342,0.026,1156855.0,12990.0,0.26,27495.0,0.9922
"V18",I,2456151.84072,17.181,17.354,0.027,1156855.0,12990.0,-12.41,28240.0,0.9944
"V18",I,2456151.84254,17.146,17.319,0.026,1156855.0,12990.0,24.52,28490.0,0.9941
"V18",I,2456151.84307,17.19,17.363,0.027,1156855.0,12990.0,-22.865,28270.0,1.0008
"V18",I,2456151.84489,17.177,17.35,0.026,1156855.0,12990.0,-8.71,27715.0,0.992
"V18",I,2456151.84542,17.153,17.326,0.026,1156855.0,12990.0,16.725,27830.0,0.9922
"V18",I,2456151.84724,17.168,17.341,0.026,1156855.0,12990.0,0.9,27680.0,0.9915
"V18",I,2456151.84776,17.187,17.36,0.027,1156855.0,12990.0,-19.565,28220.0,0.994
"V18",I,2456151.84959,17.099,17.272,0.026,1156855.0,12990.0,76.915,28755.0,0.9977
"V18",I,2456151.85011,17.12,17.293,0.026,1156855.0,12990.0,52.68,28590.0,0.9921
"V18",I,2456151.85193,17.176,17.349,0.027,1156855.0,12990.0,-7.545,27990.0,0.9913
"V18",I,2456151.85246,17.117,17.29,0.026,1156855.0,12990.0,56.55,28470.0,0.9986
"V18",I,2456151.85428,17.157,17.33,0.026,1156855.0,12990.0,12.39,28205.0,0.9874
"V18",I,2456151.85481,17.127,17.3,0.026,1156855.0,12990.0,45.475,28405.0,0.9934
"V18",I,2456151.85663,17.091,17.264,0.026,1156855.0,12990.0,84.305,29305.0,0.984
"V18",I,2456151.85715,17.152,17.325,0.027,1156855.0,12990.0,17.575,28890.0,0.9878
"V18",I,2456151.85952,17.145,17.318,0.027,1156855.0,12990.0,24.965,28900.0,0.9841
"V18",I,2456151.86134,17.141,17.314,0.026,1156855.0,12990.0,28.825,27530.0,0.9741
"V18",I,2456151.86187,17.153,17.326,0.026,1156855.0,12990.0,16.3,27275.0,0.9812
"V18",I,2456151.86422,17.096,17.269,0.027,1156855.0,12990.0,79.18,29910.0,0.983
"V18",I,2456151.86656,17.106,17.279,0.028,1156855.0,12990.0,67.58,31155.0,0.9845
"V18",I,2456151.87069,17.142,17.315,0.029,1156855.0,12990.0,28.26,31160.0,0.9835
"V18",I,2456151.87122,17.12,17.293,0.029,1156855.0,12990.0,52.355,31575.0,0.9808
"V18",I,2456151.87304,17.095,17.267,0.03,1156855.0,12990.0,80.915,33165.0,0.9863
"V18",I,2456151.87356,17.092,17.264,0.026,1156855.0,12990.0,83.56,29095.0,0.9782
"V18",I,2456151.87591,17.107,17.28,0.028,1156855.0,12990.0,66.765,30880.0,0.9805
"V18",I,2456151.87773,17.078,17.251,0.031,1156855.0,12990.0,99.51,35340.0,0.9841
"V18",I,2456151.87825,17.089,17.262,0.028,1156855.0,12990.0,86.485,30925.0,0.9812
"V18",I,2456151.88009,17.146,17.319,0.031,1156855.0,12990.0,24.615,32970.0,0.9811
"V18",I,2456151.88061,17.049,17.222,0.027,1156855.0,12990.0,132.725,31135.0,0.9801
"V18",I,2456159.84505,17.122,17.295,0.012,1156855.0,12990.0,253.24,67005.0,4.9201
"V18",I,2456159.8465,17.116,17.289,0.012,1156855.0,12990.0,285.31,64500.0,4.9043
"V18",I,2456159.86132,17.103,17.276,0.011,1156855.0,12990.0,349.135,59185.0,4.8303
"V18",I,2456159.86277,17.081,17.254,0.011,1156855.0,12990.0,473.27,59980.0,4.8413
"V18",I,2456160.77802,17.106,17.278,0.01,1156855.0,12990.0,337.04,54825.0,4.8457
