Time,CRate,e_CRate
5838.65199987777,0.2,0.14142135
5848.65199970081,0.2,0.14142135
5858.65199952386,0.40000001,0.2
5868.65199997555,0.30000001,0.17320508
5878.6519997986,0.1,0.1
5888.65199962165,0.30000001,0.17320508
5898.65200007334,0.5,0.2236068
5908.65199989639,0.40000001,0.2
5918.65199971944,0.1,0.1
5928.65199954249,0.2,0.14142135
5938.65199999418,0.5,0.2236068
5948.65199981723,0.1,0.1
5958.65199964028,0.30000001,0.17320508
5968.65200009197,0.40000001,0.2
5978.65199991502,0.0,0.0
5988.65199973807,0.1,0.1
5998.65199956112,0.30000001,0.17320508
6008.65200001281,0.2,0.14142135
6018.65199983586,0.30000001,0.17320508
6028.6519996589,0.2,0.14142135
6038.6520001106,0.1,0.1
6048.65199993365,0.0,0.0
6058.65199975669,0.60000002,0.24494898
6068.65199957974,0.40000001,0.2
6078.65200003143,0.30000001,0.17320508
6088.65199985448,0.2,0.14142135
6098.65199967753,0.5,0.2236068
6108.65200012922,0.40000001,0.2
6118.65199995227,0.2,0.14142135
6128.65199977532,0.1,0.1
6138.65199959837,0.1,0.1
6148.65200005006,0.30000001,0.17320508
6158.65199987311,0.69999999,0.26457512
6168.65199969616,0.30000001,0.17320508
6178.65200014785,0.30000001,0.17320508
6188.6519999709,0.40000001,0.2
6198.65199979395,0.60000002,0.24494898
6208.651999617,0.30000001,0.17320508
6218.65200006869,0.0,0.0
6228.65199989174,0.30000001,0.17320508
6238.65199971478,0.1,0.1
6248.65200016648,0.30000001,0.17320508
6258.65199998952,0.2,0.14142135
6268.65199981257,0.30000001,0.17320508
6278.65199963562,0.5,0.2236068
6288.65200008731,0.2,0.14142135
6298.65199991036,0.2,0.14142135
6308.65199973341,0.30000001,0.17320508
6318.65199955646,0.5,0.2236068
6328.65200000815,0.40000001,0.2
6338.6519998312,0.60000002,0.24494898
6348.65199965425,0.30000001,0.17320508
10508.6519995937,0.40000001,0.2
10518.6520000454,0.2,0.14142135
10528.6519998685,0.40000001,0.2
10538.6519996915,0.2,0.14142135
10548.6519995145,0.5,0.2236068
10558.6519999662,0.30000001,0.17320508
10568.6519997893,0.2,0.14142135
10578.6519996123,0.69999999,0.26457512
10588.652000064,0.30000001,0.17320508
10598.6519998871,0.5,0.2236068
10608.6519997101,0.2,0.14142135
10618.6519995332,0.60000002,0.24494898
10628.6519999849,0.2,0.14142135
10638.6519998079,0.2,0.14142135
10648.651999631,0.5,0.2236068
10658.6520000827,1.1,0.33166248
10668.6519999057,0.40000001,0.2
10678.6519997288,0.1,0.1
10688.6519995518,0.30000001,0.17320508
10698.6520000035,0.2,0.14142135
10708.6519998265,0.30000001,0.17320508
10718.6519996496,0.30000001,0.17320508
10728.6520001013,0.2,0.14142135
10738.6519999243,0.40000001,0.2
10748.6519997474,0.30000001,0.17320508
10758.6519995704,0.5,0.2236068
10768.6520000221,0.2,0.14142135
10778.6519998452,0.40000001,0.2
10788.6519996682,0.40000001,0.2
10798.6520001199,0.2,0.14142135
10808.651999943,0.40000001,0.2
10818.651999766,0.5,0.2236068
10828.6519995891,0.30000001,0.17320508
10838.6520000407,0.89999998,0.30000001
10848.6519998638,0.40000001,0.2
10858.6519996868,0.1,0.1
10868.6520001385,0.30000001,0.17320508
10878.6519999616,0.30000001,0.17320508
10888.6519997846,0.40000001,0.2
10898.6519996077,0.40000001,0.2
10908.6520000594,0.40000001,0.2
10918.6519998824,0.2,0.14142135
10928.6519997055,0.30000001,0.17320508
10938.6520001572,0.2,0.14142135
10948.6519999802,0.40000001,0.2
10958.6519998033,0.40000001,0.2
10968.6519996263,0.30000001,0.17320508
10978.652000078,0.60000002,0.24494898
10988.651999901,0.40000001,0.2
10998.6519997241,0.80000001,0.2828427
11008.6520001758,0.1,0.1
11018.6519999988,0.5,0.2236068
11028.6519998219,0.1,0.1
11038.6519996449,0.40000001,0.2
11048.6520000966,0.40000001,0.2
11058.6519999197,0.2,0.14142135
11068.6519997427,0.60000002,0.24494898
11078.6519995658,0.30000001,0.17320508
11088.6520000175,0.60000002,0.24494898
11098.6519998405,0.2,0.14142135
11108.6519996636,0.1,0.1
11118.6519994866,0.2,0.14142135
11128.6519999383,0.2,0.14142135
11138.6519997614,0.40000001,0.2
11148.6519995844,0.2,0.14142135
