Time,Flux,e_Flux
-1894.4254618,0.5229248332,0.0223610258
-1893.9255097,0.5059884888,0.021879853
-1893.4255571,0.515542885,0.0221598898
-1892.9256044,0.5671965866,0.0225171642
-1892.4256524,0.6057133738,0.0235677956
-1891.9257004,0.5213448687,0.0217730584
-1891.4257477,0.4926332707,0.0210402184
-1890.9257957,0.519133183,0.0203995123
-1890.4258437,0.4993769691,0.0208819239
-1889.925891,0.448439053,0.0204498514
-1889.4259384,0.4627860517,0.020300249
-1888.9259863,0.4920386501,0.0217650206
-1888.4260337,0.4697376037,0.0203463086
-1887.9260823,0.4686623582,0.0202509313
-1887.426129,0.4699604615,0.020229102
-1886.9261776,0.5167229647,0.0206960754
-1886.426225,0.4937578743,0.0213838473
-1885.9262729,0.505348895,0.0214229188
-1885.4263203,0.4987409137,0.0208801722
-1884.9263676,0.4918312425,0.0209977829
-1884.4264156,0.4905192589,0.0214885449
-1883.9264636,0.4667565654,0.0207948253
-1883.4265109,0.4261507972,0.0208105131
-1882.9265589,0.4885782269,0.021022145
-1882.4266069,0.5093466866,0.0218036306
-1881.9266536,0.4585563985,0.0210031493
-1881.4267016,0.4459169795,0.0211307639
-1880.9267495,0.4756662459,0.0218960978
-1880.4267969,0.4493692119,0.0205441224
-1879.9268448,0.4625308427,0.020289597
-1879.4268922,0.4258241442,0.0220289682
-1878.9269408,0.491797979,0.0222528043
-1878.4269875,0.4437157138,0.0228377596
-1877.9270349,0.4016947121,0.0205127486
-1877.4270835,0.4596940514,0.0206839559
-1873.3134761,0.4572608758,0.0222268448
-1872.8135234,0.4639321606,0.0210157572
-1872.3135708,0.4788770354,0.0211377929
-1871.8136188,0.5064687154,0.0212679908
-1871.3136674,0.498095168,0.0209915514
-1870.8137147,0.5458936136,0.0218738576
-1870.3137614,0.5496947946,0.0213749859
-1869.81381,0.5150965824,0.0212584071
-1869.3138574,0.5106749359,0.0216125913
-1868.8139041,0.5195478427,0.0217720593
-1868.3139527,0.4624000417,0.019998599
